hour,时段,1-10(20)千伏(元/kWh),35千伏(元/kWh),110千伏(元/kWh),220千伏及以上(元/kWh)
0,谷,0.346300,0.336700,,0.317500
1,谷,0.346300,0.336700,,0.317500
2,谷,0.346300,0.336700,,0.317500
3,谷,0.346300,0.336700,,0.317500
4,谷,0.346300,0.336700,,0.317500
5,谷,0.346300,0.336700,,0.317500
6,峰,0.977200,0.933200,,0.845800
7,峰,0.977200,0.933200,,0.845800
8,平,0.633400,0.608100,,0.557900
9,平,0.633400,0.608100,,0.557900
10,平,0.633400,0.608100,,0.557900
11,谷,0.346300,0.336700,,0.317500
12,谷,0.346300,0.336700,,0.317500
13,谷,0.346300,0.336700,,0.317500
14,平,0.633400,0.608100,,0.557900
15,平,0.633400,0.608100,,0.557900
16,峰,0.977200,0.933200,,0.845800
17,峰,0.977200,0.933200,,0.845800
18,峰,0.977200,0.933200,,0.845800
19,峰,0.977200,0.933200,,0.845800
20,峰,0.977200,0.933200,,0.845800
21,峰,0.977200,0.933200,,0.845800
22,平,0.633400,0.608100,,0.557900
23,谷,0.346300,0.336700,,0.317500
