hour,时段,1-10(20)千伏(元/kWh),35千伏(元/kWh),110千伏(元/kWh),220千伏及以上(元/kWh)
0,谷,0.413096,,,0.357596
1,谷,0.413096,,,0.357596
2,谷,0.413096,,,0.357596
3,谷,0.413096,,,0.357596
4,谷,0.413096,,,0.357596
5,谷,0.413096,,,0.357596
6,谷,0.413096,,,0.357596
7,平,0.641578,,,0.586078
8,平,0.641578,,,0.586078
9,平,0.641578,,,0.586078
10,峰,0.870060,,,0.814560
11,峰,0.870060,,,0.814560
12,峰,0.870060,,,0.814560
13,平,0.641578,,,0.586078
14,平,0.641578,,,0.586078
15,平,0.641578,,,0.586078
16,平,0.641578,,,0.586078
17,峰,0.870060,,,0.814560
18,峰,0.870060,,,0.814560
19,峰,0.870060,,,0.814560
20,峰,0.870060,,,0.814560
21,峰,0.870060,,,0.814560
22,平,0.641578,,,0.586078
23,谷,0.413096,,,0.357596
