hour,时段,1-10(20)千伏(元/kWh),35千伏(元/kWh),110千伏(元/kWh),220千伏及以上(元/kWh)
0,谷,0.329361,0.319557,,0.304889
1,谷,0.329361,0.319557,,0.304889
2,谷,0.329361,0.319557,,0.304889
3,谷,0.329361,0.319557,,0.304889
4,谷,0.329361,0.319557,,0.304889
5,谷,0.329361,0.319557,,0.304889
6,谷,0.329361,0.319557,,0.304889
7,谷,0.329361,0.319557,,0.304889
8,平,0.698600,0.672800,,0.634200
9,平,0.698600,0.672800,,0.634200
10,平,0.698600,0.672800,,0.634200
11,峰,1.055928,1.014648,,0.952888
12,峰,1.055928,1.014648,,0.952888
13,峰,1.055928,1.014648,,0.952888
14,峰,1.055928,1.014648,,0.952888
15,峰,1.055928,1.014648,,0.952888
16,峰,1.055928,1.014648,,0.952888
17,平,0.698600,0.672800,,0.634200
18,平,0.698600,0.672800,,0.634200
19,平,0.698600,0.672800,,0.634200
20,峰,1.055928,1.014648,,0.952888
21,峰,1.055928,1.014648,,0.952888
22,平,0.698600,0.672800,,0.634200
23,平,0.698600,0.672800,,0.634200
