hour,时段,1-10(20)千伏(元/kWh),35千伏(元/kWh),110千伏(元/kWh),220千伏及以上(元/kWh)
0,谷,0.149813,0.149813,,0.149813
1,谷,0.149813,0.149813,,0.149813
2,谷,0.149813,0.149813,,0.149813
3,谷,0.149813,0.149813,,0.149813
4,谷,0.149813,0.149813,,0.149813
5,谷,0.149813,0.149813,,0.149813
6,谷,0.149813,0.149813,,0.149813
7,谷,0.149813,0.149813,,0.149813
8,平,0.405000,0.404900,,0.404900
9,平,0.405000,0.404900,,0.404900
10,峰,0.639742,0.639742,,0.639742
11,尖峰,0.728820,0.728820,,0.728820
12,平,0.405000,0.404900,,0.404900
13,平,0.405000,0.404900,,0.404900
14,平,0.405000,0.404900,,0.404900
15,峰,0.639742,0.639742,,0.639742
16,峰,0.639742,0.639742,,0.639742
17,尖峰,0.728820,0.728820,,0.728820
18,峰,0.639742,0.639742,,0.639742
19,峰,0.639742,0.639742,,0.639742
20,平,0.405000,0.404900,,0.404900
21,峰,0.639742,0.639742,,0.639742
22,平,0.405000,0.404900,,0.404900
23,平,0.405000,0.404900,,0.404900
