hour,时段,1-10(20)千伏(元/kWh),35千伏(元/kWh),110千伏(元/kWh),220千伏及以上(元/kWh)
0,谷,0.362304,0.342304,,0.292304
1,谷,0.362304,0.342304,,0.292304
2,谷,0.362304,0.342304,,0.292304
3,谷,0.362304,0.342304,,0.292304
4,谷,0.362304,0.342304,,0.292304
5,谷,0.362304,0.342304,,0.292304
6,谷,0.362304,0.342304,,0.292304
7,谷,0.362304,0.342304,,0.292304
8,平,0.595744,0.575744,,0.525744
9,平,0.595744,0.575744,,0.525744
10,峰,0.810656,0.790656,,0.740656
11,峰,0.810656,0.790656,,0.740656
12,平,0.595744,0.575744,,0.525744
13,平,0.595744,0.575744,,0.525744
14,平,0.595744,0.575744,,0.525744
15,峰,0.810656,0.790656,,0.740656
16,峰,0.810656,0.790656,,0.740656
17,峰,0.810656,0.790656,,0.740656
18,峰,0.810656,0.790656,,0.740656
19,峰,0.810656,0.790656,,0.740656
20,平,0.595744,0.575744,,0.525744
21,峰,0.810656,0.790656,,0.740656
22,平,0.595744,0.575744,,0.525744
23,平,0.595744,0.575744,,0.525744
