hour,时段,1-10(20)千伏(元/kWh),35千伏(元/kWh),110千伏(元/kWh),220千伏及以上(元/kWh)
0,平,0.441281,0.427281,,0.404281
1,平,0.441281,0.427281,,0.404281
2,平,0.441281,0.427281,,0.404281
3,平,0.441281,0.427281,,0.404281
4,平,0.441281,0.427281,,0.404281
5,平,0.441281,0.427281,,0.404281
6,峰,0.498091,0.484091,,0.461091
7,峰,0.498091,0.484091,,0.461091
8,平,0.441281,0.427281,,0.404281
9,平,0.441281,0.427281,,0.404281
10,谷,0.359565,0.345565,,0.322565
11,谷,0.359565,0.345565,,0.322565
12,谷,0.359565,0.345565,,0.322565
13,谷,0.359565,0.345565,,0.322565
14,谷,0.359565,0.345565,,0.322565
15,谷,0.359565,0.345565,,0.322565
16,平,0.441281,0.427281,,0.404281
17,平,0.441281,0.427281,,0.404281
18,峰,0.498091,0.484091,,0.461091
19,峰,0.498091,0.484091,,0.461091
20,峰,0.498091,0.484091,,0.461091
21,峰,0.498091,0.484091,,0.461091
22,峰,0.498091,0.484091,,0.461091
23,平,0.441281,0.427281,,0.404281
