hour,时段,1-10(20)千伏(元/kWh),35千伏(元/kWh),110千伏(元/kWh),220千伏及以上(元/kWh)
0,谷,0.228969,,,0.208869
1,谷,0.228969,,,0.208869
2,谷,0.228969,,,0.208869
3,谷,0.228969,,,0.208869
4,谷,0.228969,,,0.208869
5,谷,0.228969,,,0.208869
6,谷,0.228969,,,0.208869
7,谷,0.228969,,,0.208869
8,平,0.557569,,,0.504769
9,平,0.557569,,,0.504769
10,峰,0.928469,,,0.838769
11,尖峰,1.100269,,,1.041569
12,平,0.557569,,,0.504769
13,平,0.557569,,,0.504769
14,峰,0.928469,,,0.838769
15,尖峰,1.100269,,,1.041569
16,尖峰,1.100269,,,1.041569
17,峰,0.928469,,,0.838769
18,峰,0.928469,,,0.838769
19,平,0.557569,,,0.504769
20,平,0.557569,,,0.504769
21,平,0.557569,,,0.504769
22,平,0.557569,,,0.504769
23,平,0.557569,,,0.504769
