hour,时段,1-10(20)千伏(元/kWh),35千伏(元/kWh),110千伏(元/kWh),220千伏及以上(元/kWh)
0,谷,0.253269,,,0.233169
1,谷,0.253269,,,0.233169
2,谷,0.253269,,,0.233169
3,谷,0.253269,,,0.233169
4,谷,0.253269,,,0.233169
5,谷,0.253269,,,0.233169
6,谷,0.253269,,,0.233169
7,谷,0.253269,,,0.233169
8,平,0.621469,,,0.568669
9,平,0.621469,,,0.568669
10,峰,1.037169,,,0.947369
11,尖峰,1.236269,,,1.177369
12,平,0.621469,,,0.568669
13,平,0.621469,,,0.568669
14,峰,1.037169,,,0.947369
15,尖峰,1.236269,,,1.177369
16,尖峰,1.236269,,,1.177369
17,峰,1.037169,,,0.947369
18,峰,1.037169,,,0.947369
19,平,0.621469,,,0.568669
20,平,0.621469,,,0.568669
21,平,0.621469,,,0.568669
22,平,0.621469,,,0.568669
23,平,0.621469,,,0.568669
