hour,时段,1-10(20)千伏(元/kWh),35千伏(元/kWh),110千伏(元/kWh),220千伏及以上(元/kWh)
0,谷,0.277969,,,0.257969
1,谷,0.277969,,,0.257969
2,谷,0.277969,,,0.257969
3,谷,0.277969,,,0.257969
4,谷,0.277969,,,0.257969
5,谷,0.277969,,,0.257969
6,谷,0.277969,,,0.257969
7,谷,0.277969,,,0.257969
8,平,0.686469,,,0.633669
9,平,0.686469,,,0.633669
10,峰,1.147669,,,1.057969
11,峰,1.147669,,,1.057969
12,平,0.686469,,,0.633669
13,平,0.686469,,,0.633669
14,峰,1.147669,,,1.057969
15,峰,1.147669,,,1.057969
16,峰,1.147669,,,1.057969
17,峰,1.147669,,,1.057969
18,峰,1.147669,,,1.057969
19,平,0.686469,,,0.633669
20,平,0.686469,,,0.633669
21,平,0.686469,,,0.633669
22,平,0.686469,,,0.633669
23,平,0.686469,,,0.633669
