hour,时段,1-10(20)千伏(元/kWh),35千伏(元/kWh),110千伏(元/kWh),220千伏及以上(元/kWh)
0,谷,0.271569,,,0.251569
1,谷,0.271569,,,0.251569
2,谷,0.271569,,,0.251569
3,谷,0.271569,,,0.251569
4,谷,0.271569,,,0.251569
5,谷,0.271569,,,0.251569
6,谷,0.271569,,,0.251569
7,谷,0.271569,,,0.251569
8,平,0.669469,,,0.616669
9,平,0.669469,,,0.616669
10,峰,1.118769,,,1.029069
11,峰,1.118769,,,1.029069
12,平,0.669469,,,0.616669
13,平,0.669469,,,0.616669
14,峰,1.118769,,,1.029069
15,峰,1.118769,,,1.029069
16,峰,1.118769,,,1.029069
17,峰,1.118769,,,1.029069
18,峰,1.118769,,,1.029069
19,平,0.669469,,,0.616669
20,平,0.669469,,,0.616669
21,平,0.669469,,,0.616669
22,平,0.669469,,,0.616669
23,平,0.669469,,,0.616669
