hour,时段,1-10(20)千伏(元/kWh),35千伏(元/kWh),110千伏(元/kWh),220千伏及以上(元/kWh)
0,谷,0.273069,,,0.252969
1,谷,0.273069,,,0.252969
2,谷,0.273069,,,0.252969
3,谷,0.273069,,,0.252969
4,谷,0.273069,,,0.252969
5,谷,0.273069,,,0.252969
6,谷,0.273069,,,0.252969
7,谷,0.273069,,,0.252969
8,平,0.673269,,,0.620469
9,平,0.673269,,,0.620469
10,峰,1.125269,,,1.035469
11,峰,1.125269,,,1.035469
12,平,0.673269,,,0.620469
13,平,0.673269,,,0.620469
14,峰,1.125269,,,1.035469
15,峰,1.125269,,,1.035469
16,峰,1.125269,,,1.035469
17,峰,1.125269,,,1.035469
18,峰,1.125269,,,1.035469
19,平,0.673269,,,0.620469
20,平,0.673269,,,0.620469
21,平,0.673269,,,0.620469
22,平,0.673269,,,0.620469
23,平,0.673269,,,0.620469
