hour,时段,1-10(20)千伏(元/kWh),35千伏(元/kWh),110千伏(元/kWh),220千伏及以上(元/kWh)
0,谷,0.456895,0.414695,,0.338095
1,谷,0.456895,0.414695,,0.338095
2,谷,0.456895,0.414695,,0.338095
3,谷,0.456895,0.414695,,0.338095
4,谷,0.456895,0.414695,,0.338095
5,谷,0.456895,0.414695,,0.338095
6,谷,0.456895,0.414695,,0.338095
7,平,0.625390,0.583190,,0.506590
8,平,0.625390,0.583190,,0.506590
9,平,0.625390,0.583190,,0.506590
10,平,0.625390,0.583190,,0.506590
11,峰,0.793885,0.751685,,0.675085
12,峰,0.793885,0.751685,,0.675085
13,平,0.625390,0.583190,,0.506590
14,平,0.625390,0.583190,,0.506590
15,平,0.625390,0.583190,,0.506590
16,平,0.625390,0.583190,,0.506590
17,峰,0.793885,0.751685,,0.675085
18,峰,0.793885,0.751685,,0.675085
19,峰,0.793885,0.751685,,0.675085
20,峰,0.793885,0.751685,,0.675085
21,峰,0.793885,0.751685,,0.675085
22,峰,0.793885,0.751685,,0.675085
23,谷,0.456895,0.414695,,0.338095
