hour,时段,1-10(20)千伏(元/kWh),35千伏(元/kWh),110千伏(元/kWh),220千伏及以上(元/kWh)
0,谷,0.252781,0.247301,,0.222741
1,谷,0.252781,0.247301,,0.222741
2,谷,0.252781,0.247301,,0.222741
3,谷,0.252781,0.247301,,0.222741
4,谷,0.252781,0.247301,,0.222741
5,谷,0.252781,0.247301,,0.222741
6,谷,0.252781,0.247301,,0.222741
7,谷,0.252781,0.247301,,0.222741
8,平,0.593964,0.580264,,0.518864
9,平,0.593964,0.580264,,0.518864
10,峰,0.935147,0.913227,,0.814987
11,峰,0.935147,0.913227,,0.814987
12,峰,0.935147,0.913227,,0.814987
13,平,0.593964,0.580264,,0.518864
14,平,0.593964,0.580264,,0.518864
15,平,0.593964,0.580264,,0.518864
16,平,0.593964,0.580264,,0.518864
17,峰,0.935147,0.913227,,0.814987
18,峰,0.935147,0.913227,,0.814987
19,峰,0.935147,0.913227,,0.814987
20,峰,0.935147,0.913227,,0.814987
21,峰,0.935147,0.913227,,0.814987
22,平,0.593964,0.580264,,0.518864
23,平,0.593964,0.580264,,0.518864
