hour,时段,1-10(20)千伏(元/kWh),35千伏(元/kWh),110千伏(元/kWh),220千伏及以上(元/kWh)
0,谷,0.328368,0.329048,,0.324448
1,谷,0.328368,0.329048,,0.324448
2,谷,0.328368,0.329048,,0.324448
3,谷,0.328368,0.329048,,0.324448
4,谷,0.328368,0.329048,,0.324448
5,谷,0.328368,0.329048,,0.324448
6,谷,0.328368,0.329048,,0.324448
7,平,0.750195,0.751895,,0.740395
8,平,0.750195,0.751895,,0.740395
9,平,0.750195,0.751895,,0.740395
10,峰,1.242327,1.245217,,1.225667
11,峰,1.242327,1.245217,,1.225667
12,平,0.750195,0.751895,,0.740395
13,平,0.750195,0.751895,,0.740395
14,平,0.750195,0.751895,,0.740395
15,平,0.750195,0.751895,,0.740395
16,峰,1.242327,1.245217,,1.225667
17,峰,1.242327,1.245217,,1.225667
18,峰,1.242327,1.245217,,1.225667
19,峰,1.242327,1.245217,,1.225667
20,峰,1.242327,1.245217,,1.225667
21,峰,1.242327,1.245217,,1.225667
22,平,0.750195,0.751895,,0.740395
23,谷,0.328368,0.329048,,0.324448
