hour,时段,1-10(20)千伏(元/kWh),35千伏(元/kWh),110千伏(元/kWh),220千伏及以上(元/kWh)
0,平,0.648714,0.628714,,0.588714
1,谷,0.362512,0.342512,,0.302512
2,谷,0.362512,0.342512,,0.302512
3,谷,0.362512,0.342512,,0.302512
4,谷,0.362512,0.342512,,0.302512
5,谷,0.362512,0.342512,,0.302512
6,平,0.648714,0.628714,,0.588714
7,平,0.648714,0.628714,,0.588714
8,平,0.648714,0.628714,,0.588714
9,平,0.648714,0.628714,,0.588714
10,平,0.648714,0.628714,,0.588714
11,平,0.648714,0.628714,,0.588714
12,谷,0.362512,0.342512,,0.302512
13,谷,0.362512,0.342512,,0.302512
14,谷,0.362512,0.342512,,0.302512
15,平,0.648714,0.628714,,0.588714
16,峰,0.934916,0.914916,,0.874916
17,峰,0.934916,0.914916,,0.874916
18,峰,0.934916,0.914916,,0.874916
19,峰,0.934916,0.914916,,0.874916
20,峰,0.934916,0.914916,,0.874916
21,峰,0.934916,0.914916,,0.874916
22,峰,0.934916,0.914916,,0.874916
23,峰,0.934916,0.914916,,0.874916
