hour,时段,1-10(20)千伏(元/kWh),35千伏(元/kWh),110千伏(元/kWh),220千伏及以上(元/kWh)
0,谷,0.478246,0.456846,,0.417746
1,谷,0.478246,0.456846,,0.417746
2,谷,0.478246,0.456846,,0.417746
3,谷,0.478246,0.456846,,0.417746
4,谷,0.478246,0.456846,,0.417746
5,谷,0.478246,0.456846,,0.417746
6,平,0.478246,0.456846,,0.417746
7,峰,0.626509,0.605109,,0.566009
8,平,0.478246,0.456846,,0.417746
9,峰,0.626509,0.605109,,0.566009
10,峰,0.626509,0.605109,,0.566009
11,峰,0.626509,0.605109,,0.566009
12,谷,0.478246,0.456846,,0.417746
13,谷,0.478246,0.456846,,0.417746
14,平,0.478246,0.456846,,0.417746
15,峰,0.626509,0.605109,,0.566009
16,峰,0.626509,0.605109,,0.566009
17,峰,0.626509,0.605109,,0.566009
18,峰,0.626509,0.605109,,0.566009
19,峰,0.626509,0.605109,,0.566009
20,平,0.478246,0.456846,,0.417746
21,平,0.478246,0.456846,,0.417746
22,平,0.478246,0.456846,,0.417746
23,谷,0.478246,0.456846,,0.417746
