hour,时段,1-10(20)千伏(元/kWh),35千伏(元/kWh),110千伏(元/kWh),220千伏及以上(元/kWh)
0,谷,0.382609,,,0.353359
1,谷,0.382609,,,0.353359
2,谷,0.382609,,,0.353359
3,谷,0.382609,,,0.353359
4,谷,0.382609,,,0.353359
5,谷,0.382609,,,0.353359
6,谷,0.382609,,,0.353359
7,平,0.694307,,,0.629307
8,平,0.694307,,,0.629307
9,平,0.694307,,,0.629307
10,平,0.694307,,,0.629307
11,平,0.694307,,,0.629307
12,平,0.694307,,,0.629307
13,平,0.694307,,,0.629307
14,平,0.694307,,,0.629307
15,平,0.694307,,,0.629307
16,峰,1.102349,,,0.990549
17,尖峰,1.251068,,,1.163142
18,尖峰,1.251068,,,1.163142
19,峰,1.102349,,,0.990549
20,峰,1.102349,,,0.990549
21,峰,1.102349,,,0.990549
22,峰,1.102349,,,0.990549
23,峰,1.102349,,,0.990549
