hour,时段,1-10(20)千伏(元/kWh),35千伏(元/kWh),110千伏(元/kWh),220千伏及以上(元/kWh)
0,谷,0.423120,0.403320,,0.366220
1,谷,0.423120,0.403320,,0.366220
2,谷,0.423120,0.403320,,0.366220
3,谷,0.423120,0.403320,,0.366220
4,谷,0.423120,0.403320,,0.366220
5,谷,0.423120,0.403320,,0.366220
6,平,0.627333,0.607533,,0.570433
7,平,0.627333,0.607533,,0.570433
8,平,0.627333,0.607533,,0.570433
9,平,0.627333,0.607533,,0.570433
10,平,0.627333,0.607533,,0.570433
11,平,0.627333,0.607533,,0.570433
12,谷,0.423120,0.403320,,0.366220
13,谷,0.423120,0.403320,,0.366220
14,平,0.627333,0.607533,,0.570433
15,平,0.627333,0.607533,,0.570433
16,峰,0.819764,0.799964,,0.762864
17,峰,0.819764,0.799964,,0.762864
18,尖峰,0.903607,0.921707,,0.884607
19,尖峰,0.903607,0.921707,,0.884607
20,峰,0.819764,0.799964,,0.762864
21,峰,0.819764,0.799964,,0.762864
22,峰,0.819764,0.799964,,0.762864
23,峰,0.819764,0.799964,,0.762864
