hour,时段,1-10(20)千伏(元/kWh),35千伏(元/kWh),110千伏(元/kWh),220千伏及以上(元/kWh)
0,谷,0.303210,0.291210,,0.269530
1,谷,0.303210,0.291210,,0.269530
2,谷,0.303210,0.291210,,0.269530
3,谷,0.303210,0.291210,,0.269530
4,谷,0.303210,0.291210,,0.269530
5,谷,0.303210,0.291210,,0.269530
6,平,0.683030,0.653030,,0.598830
7,平,0.683030,0.653030,,0.598830
8,平,0.683030,0.653030,,0.598830
9,平,0.683030,0.653030,,0.598830
10,平,0.683030,0.653030,,0.598830
11,平,0.683030,0.653030,,0.598830
12,谷,0.303210,0.291210,,0.269530
13,谷,0.303210,0.291210,,0.269530
14,平,0.683030,0.653030,,0.598830
15,平,0.683030,0.653030,,0.598830
16,峰,1.062850,1.014850,,0.928130
17,峰,1.062850,1.014850,,0.928130
18,峰,1.062850,1.014850,,0.928130
19,峰,1.062850,1.014850,,0.928130
20,峰,1.062850,1.014850,,0.928130
21,峰,1.062850,1.014850,,0.928130
22,峰,1.062850,1.014850,,0.928130
23,峰,1.062850,1.014850,,0.928130
