hour,时段,1-10(20)千伏(元/kWh),35千伏(元/kWh),110千伏(元/kWh),220千伏及以上(元/kWh)
0,谷,0.379969,0.372969,,0.310569
1,谷,0.379969,0.372969,,0.310569
2,谷,0.379969,0.372969,,0.310569
3,谷,0.379969,0.372969,,0.310569
4,谷,0.379969,0.372969,,0.310569
5,平,0.525313,0.518313,,0.455913
6,峰,0.715378,0.708378,,0.645978
7,峰,0.715378,0.708378,,0.645978
8,峰,0.715378,0.708378,,0.645978
9,平,0.525313,0.518313,,0.455913
10,平,0.525313,0.518313,,0.455913
11,谷,0.379969,0.372969,,0.310569
12,谷,0.379969,0.372969,,0.310569
13,谷,0.379969,0.372969,,0.310569
14,平,0.525313,0.518313,,0.455913
15,平,0.525313,0.518313,,0.455913
16,平,0.525313,0.518313,,0.455913
17,峰,0.715378,0.708378,,0.645978
18,峰,0.715378,0.708378,,0.645978
19,峰,0.715378,0.708378,,0.645978
20,峰,0.715378,0.708378,,0.645978
21,峰,0.715378,0.708378,,0.645978
22,平,0.525313,0.518313,,0.455913
23,平,0.525313,0.518313,,0.455913
