hour,时段,1-10(20)千伏(元/kWh),35千伏(元/kWh),110千伏(元/kWh),220千伏及以上(元/kWh)
0,谷,0.282077,0.267077,,0.248077
1,谷,0.282077,0.267077,,0.248077
2,谷,0.282077,0.267077,,0.248077
3,谷,0.282077,0.267077,,0.248077
4,平,0.445825,0.430825,,0.411825
5,平,0.445825,0.430825,,0.411825
6,峰,0.659957,0.644957,,0.625957
7,峰,0.659957,0.644957,,0.625957
8,平,0.445825,0.430825,,0.411825
9,平,0.445825,0.430825,,0.411825
10,平,0.445825,0.430825,,0.411825
11,谷,0.282077,0.267077,,0.248077
12,谷,0.282077,0.267077,,0.248077
13,谷,0.282077,0.267077,,0.248077
14,谷,0.282077,0.267077,,0.248077
15,谷,0.282077,0.267077,,0.248077
16,平,0.445825,0.430825,,0.411825
17,平,0.445825,0.430825,,0.411825
18,峰,0.659957,0.644957,,0.625957
19,峰,0.659957,0.644957,,0.625957
20,峰,0.659957,0.644957,,0.625957
21,峰,0.659957,0.644957,,0.625957
22,平,0.445825,0.430825,,0.411825
23,平,0.445825,0.430825,,0.411825
