hour,时段,1-10(20)千伏(元/kWh),35千伏(元/kWh),110千伏(元/kWh),220千伏及以上(元/kWh)
0,平,0.605000,0.580000,,0.529000
1,平,0.605000,0.580000,,0.529000
2,谷,0.375600,0.350600,,0.299600
3,谷,0.375600,0.350600,,0.299600
4,谷,0.375600,0.350600,,0.299600
5,谷,0.375600,0.350600,,0.299600
6,平,0.605000,0.580000,,0.529000
7,平,0.605000,0.580000,,0.529000
8,平,0.605000,0.580000,,0.529000
9,平,0.605000,0.580000,,0.529000
10,谷,0.375600,0.350600,,0.299600
11,谷,0.375600,0.350600,,0.299600
12,谷,0.375600,0.350600,,0.299600
13,谷,0.375600,0.350600,,0.299600
14,平,0.605000,0.580000,,0.529000
15,峰,0.887300,0.862300,,0.811300
16,峰,0.887300,0.862300,,0.811300
17,峰,0.887300,0.862300,,0.811300
18,峰,0.887300,0.862300,,0.811300
19,峰,0.887300,0.862300,,0.811300
20,峰,0.887300,0.862300,,0.811300
21,峰,0.887300,0.862300,,0.811300
22,平,0.605000,0.580000,,0.529000
23,平,0.605000,0.580000,,0.529000
