hour,时段,1-10(20)千伏(元/kWh),35千伏(元/kWh),110千伏(元/kWh),220千伏及以上(元/kWh)
0,平,0.678573,0.663573,,0.638572
1,谷,0.406476,0.391476,,0.366476
2,谷,0.406476,0.391476,,0.366476
3,谷,0.406476,0.391476,,0.366476
4,谷,0.406476,0.391476,,0.366476
5,平,0.678573,0.663573,,0.638572
6,平,0.678573,0.663573,,0.638572
7,平,0.678573,0.663573,,0.638572
8,平,0.678573,0.663573,,0.638572
9,平,0.678573,0.663573,,0.638572
10,平,0.678573,0.663573,,0.638572
11,谷,0.406476,0.391476,,0.366476
12,深谷,0.376476,0.391476,,0.366476
13,深谷,0.376476,0.391476,,0.366476
14,谷,0.406476,0.391476,,0.366476
15,平,0.678573,0.663573,,0.638572
16,峰,0.406476,0.391476,,0.366476
17,峰,0.406476,0.391476,,0.366476
18,峰,0.406476,0.391476,,0.366476
19,峰,0.406476,0.391476,,0.366476
20,峰,0.406476,0.391476,,0.366476
21,峰,0.406476,0.391476,,0.366476
22,平,0.678573,0.663573,,0.638572
23,平,0.678573,0.663573,,0.638572
