hour,时段,1-10(20)千伏(元/kWh),35千伏(元/kWh),110千伏(元/kWh),220千伏及以上(元/kWh)
0,谷,0.466844,,,0.426844
1,谷,0.466844,,,0.426844
2,谷,0.466844,,,0.426844
3,谷,0.466844,,,0.426844
4,谷,0.466844,,,0.426844
5,平,0.697609,,,0.657609
6,平,0.697609,,,0.657609
7,平,0.697609,,,0.657609
8,峰,0.928374,,,0.888374
9,峰,0.928374,,,0.888374
10,平,0.697609,,,0.657609
11,谷,0.466844,,,0.426844
12,谷,0.466844,,,0.426844
13,谷,0.466844,,,0.426844
14,平,0.697609,,,0.657609
15,平,0.697609,,,0.657609
16,峰,0.928374,,,0.888374
17,峰,0.928374,,,0.888374
18,峰,0.928374,,,0.888374
19,峰,0.928374,,,0.888374
20,峰,0.928374,,,0.888374
21,平,0.697609,,,0.657609
22,平,0.697609,,,0.657609
23,谷,0.466844,,,0.426844
