hour,时段,1-10(20)千伏(元/kWh),35千伏(元/kWh),110千伏(元/kWh),220千伏及以上(元/kWh)
0,谷,0.403623,,,0.358323
1,谷,0.403623,,,0.358323
2,谷,0.403623,,,0.358323
3,谷,0.403623,,,0.358323
4,谷,0.403623,,,0.358323
5,平,0.617332,,,0.572032
6,平,0.617332,,,0.572032
7,峰,0.831042,,,0.785742
8,峰,0.831042,,,0.785742
9,峰,0.831042,,,0.785742
10,峰,0.831042,,,0.785742
11,谷,0.403623,,,0.358323
12,谷,0.403623,,,0.358323
13,平,0.617332,,,0.572032
14,平,0.617332,,,0.572032
15,平,0.617332,,,0.572032
16,峰,0.831042,,,0.785742
17,峰,0.831042,,,0.785742
18,峰,0.831042,,,0.785742
19,峰,0.831042,,,0.785742
20,峰,0.831042,,,0.785742
21,平,0.617332,,,0.572032
22,谷,0.403623,,,0.358323
23,谷,0.403623,,,0.358323
