hour,时段,1-10(20)千伏(元/kWh),35千伏(元/kWh),110千伏(元/kWh),220千伏及以上(元/kWh)
0,峰,0.510019,0.494919,,0.470119
1,峰,0.510019,0.494919,,0.470119
2,峰,0.510019,0.494919,,0.470119
3,峰,0.510019,0.494919,,0.470119
4,峰,0.510019,0.494919,,0.470119
5,平,0.462719,0.447619,,0.422819
6,平,0.462719,0.447619,,0.422819
7,平,0.462719,0.447619,,0.422819
8,平,0.462719,0.447619,,0.422819
9,谷,0.354319,0.339219,,0.314419
10,谷,0.354319,0.339219,,0.314419
11,谷,0.354319,0.339219,,0.314419
12,谷,0.354319,0.339219,,0.314419
13,谷,0.354319,0.339219,,0.314419
14,谷,0.354319,0.339219,,0.314419
15,谷,0.354319,0.339219,,0.314419
16,谷,0.354319,0.339219,,0.314419
17,平,0.462719,0.447619,,0.422819
18,平,0.462719,0.447619,,0.422819
19,平,0.462719,0.447619,,0.422819
20,平,0.462719,0.447619,,0.422819
21,峰,0.510019,0.494919,,0.470119
22,峰,0.510019,0.494919,,0.470119
23,峰,0.510019,0.494919,,0.470119
