hour,时段,1-10(20)千伏(元/kWh),35千伏(元/kWh),110千伏(元/kWh),220千伏及以上(元/kWh)
0,平,0.378234,0.372734,0.362534,
1,平,0.378234,0.372734,0.362534,
2,平,0.378234,0.372734,0.362534,
3,平,0.378234,0.372734,0.362534,
4,平,0.378234,0.372734,0.362534,
5,平,0.378234,0.372734,0.362534,
6,平,0.378234,0.372734,0.362534,
7,峰,0.541120,0.535620,0.525420,
8,峰,0.541120,0.535620,0.525420,
9,谷,0.210177,0.204677,0.194477,
10,谷,0.210177,0.204677,0.194477,
11,谷,0.210177,0.204677,0.194477,
12,谷,0.210177,0.204677,0.194477,
13,谷,0.210177,0.204677,0.194477,
14,谷,0.210177,0.204677,0.194477,
15,谷,0.210177,0.204677,0.194477,
16,谷,0.210177,0.204677,0.194477,
17,峰,0.541120,0.535620,0.525420,
18,峰,0.541120,0.535620,0.525420,
19,峰,0.541120,0.535620,0.525420,
20,峰,0.541120,0.535620,0.525420,
21,峰,0.541120,0.535620,0.525420,
22,峰,0.541120,0.535620,0.525420,
23,平,0.378234,0.372734,0.362534,
