hour,时段,1-10(20)千伏(元/kWh),35千伏(元/kWh),110千伏(元/kWh),220千伏及以上(元/kWh)
0,谷,0.367485,0.347485,,
1,谷,0.367485,0.347485,,
2,谷,0.367485,0.347485,,
3,谷,0.367485,0.347485,,
4,谷,0.367485,0.347485,,
5,谷,0.367485,0.347485,,
6,平,0.593725,0.573725,,
7,平,0.593725,0.573725,,
8,平,0.593725,0.573725,,
9,平,0.593725,0.573725,,
10,平,0.593725,0.573725,,
11,谷,0.367485,0.347485,,
12,谷,0.367485,0.347485,,
13,谷,0.367485,0.347485,,
14,平,0.593725,0.573725,,
15,平,0.593725,0.573725,,
16,峰,0.819965,0.799965,,
17,峰,0.819965,0.799965,,
18,峰,0.819965,0.799965,,
19,峰,0.819965,0.799965,,
20,峰,0.819965,0.799965,,
21,峰,0.819965,0.799965,,
22,峰,0.819965,0.799965,,
23,平,0.593725,0.573725,,
