hour,时段,1-10(20)千伏(元/kWh),35千伏(元/kWh),110千伏(元/kWh),220千伏及以上(元/kWh)
0,平,0.594169,,0.564169,0.549169
1,谷,0.289769,,0.259769,0.244769
2,谷,0.289769,,0.259769,0.244769
3,谷,0.289769,,0.259769,0.244769
4,谷,0.289769,,0.259769,0.244769
5,谷,0.289769,,0.259769,0.244769
6,平,0.594169,,0.564169,0.549169
7,平,0.594169,,0.564169,0.549169
8,平,0.594169,,0.564169,0.549169
9,平,0.594169,,0.564169,0.549169
10,平,0.594169,,0.564169,0.549169
11,平,0.594169,,0.564169,0.549169
12,平,0.594169,,0.564169,0.549169
13,平,0.594169,,0.564169,0.549169
14,平,0.594169,,0.564169,0.549169
15,平,0.594169,,0.564169,0.549169
16,峰,0.898669,,0.868669,0.853669
17,尖峰,1.014069,,0.999069,0.984069
18,尖峰,1.014069,,0.999069,0.984069
19,尖峰,1.014069,,0.999069,0.984069
20,尖峰,1.014069,,0.999069,0.984069
21,尖峰,1.014069,,0.999069,0.984069
22,峰,0.898669,,0.868669,0.853669
23,平,0.594169,,0.564169,0.549169
