hour,时段,1-10(20)千伏(元/kWh),35千伏(元/kWh),110千伏(元/kWh),220千伏及以上(元/kWh)
0,谷,0.351300,0.335500,,0.315200
1,谷,0.351300,0.335500,,0.315200
2,谷,0.351300,0.335500,,0.315200
3,谷,0.351300,0.335500,,0.315200
4,谷,0.351300,0.335500,,0.315200
5,谷,0.351300,0.335500,,0.315200
6,峰,0.639900,0.608300,,0.567800
7,峰,0.639900,0.608300,,0.567800
8,峰,0.639900,0.608300,,0.567800
9,峰,0.639900,0.608300,,0.567800
10,峰,0.639900,0.608300,,0.567800
11,峰,0.639900,0.608300,,0.567800
12,峰,0.639900,0.608300,,0.567800
13,峰,0.639900,0.608300,,0.567800
14,峰,0.639900,0.608300,,0.567800
15,峰,0.639900,0.608300,,0.567800
16,峰,0.639900,0.608300,,0.567800
17,峰,0.639900,0.608300,,0.567800
18,峰,0.639900,0.608300,,0.567800
19,峰,0.639900,0.608300,,0.567800
20,峰,0.639900,0.608300,,0.567800
21,峰,0.639900,0.608300,,0.567800
22,谷,0.351300,0.335500,,0.315200
23,谷,0.351300,0.335500,,0.315200
