hour,时段,1-10(20)千伏(元/kWh),35千伏(元/kWh),110千伏(元/kWh),220千伏及以上(元/kWh)
0,谷,0.401297,0.376697,,0.355697
1,谷,0.401297,0.376697,,0.355697
2,谷,0.401297,0.376697,,0.355697
3,谷,0.401297,0.376697,,0.355697
4,谷,0.401297,0.376697,,0.355697
5,谷,0.401297,0.376697,,0.355697
6,峰,0.707829,0.658629,,0.616629
7,峰,0.707829,0.658629,,0.616629
8,峰,0.707829,0.658629,,0.616629
9,峰,0.707829,0.658629,,0.616629
10,峰,0.707829,0.658629,,0.616629
11,峰,0.707829,0.658629,,0.616629
12,峰,0.707829,0.658629,,0.616629
13,峰,0.707829,0.658629,,0.616629
14,峰,0.707829,0.658629,,0.616629
15,峰,0.707829,0.658629,,0.616629
16,峰,0.707829,0.658629,,0.616629
17,峰,0.707829,0.658629,,0.616629
18,峰,0.707829,0.658629,,0.616629
19,峰,0.707829,0.658629,,0.616629
20,峰,0.707829,0.658629,,0.616629
21,峰,0.707829,0.658629,,0.616629
22,谷,0.401297,0.376697,,0.355697
23,谷,0.401297,0.376697,,0.355697
