hour,时段,1-10(20)千伏(元/kWh),35千伏(元/kWh),110千伏(元/kWh),220千伏及以上(元/kWh)
0,谷,0.413297,0.383297,,0.338297
1,谷,0.413297,0.383297,,0.338297
2,谷,0.413297,0.383297,,0.338297
3,谷,0.413297,0.383297,,0.338297
4,谷,0.413297,0.383297,,0.338297
5,谷,0.413297,0.383297,,0.338297
6,谷,0.413297,0.383297,,0.338297
7,平,0.573484,0.543484,,0.498484
8,峰,0.748234,0.718234,,0.673234
9,峰,0.748234,0.718234,,0.673234
10,峰,0.748234,0.718234,,0.673234
11,谷,0.413297,0.383297,,0.338297
12,谷,0.413297,0.383297,,0.338297
13,平,0.573484,0.543484,,0.498484
14,平,0.573484,0.543484,,0.498484
15,平,0.573484,0.543484,,0.498484
16,平,0.573484,0.543484,,0.498484
17,峰,0.748234,0.718234,,0.673234
18,峰,0.748234,0.718234,,0.673234
19,峰,0.748234,0.718234,,0.673234
20,峰,0.748234,0.718234,,0.673234
21,峰,0.748234,0.718234,,0.673234
22,峰,0.748234,0.718234,,0.673234
23,平,0.573484,0.543484,,0.498484
