hour,时段,1-10(20)千伏(元/kWh),35千伏(元/kWh),110千伏(元/kWh),220千伏及以上(元/kWh)
0,谷,0.221718,0.209798,,0.185238
1,谷,0.221718,0.209798,,0.185238
2,谷,0.221718,0.209798,,0.185238
3,谷,0.221718,0.209798,,0.185238
4,谷,0.221718,0.209798,,0.185238
5,谷,0.221718,0.209798,,0.185238
6,谷,0.221718,0.209798,,0.185238
7,谷,0.221718,0.209798,,0.185238
8,平,0.436965,0.407165,,0.345765
9,平,0.436965,0.407165,,0.345765
10,峰,0.652212,0.604532,,0.506292
11,峰,0.652212,0.604532,,0.506292
12,平,0.436965,0.407165,,0.345765
13,平,0.436965,0.407165,,0.345765
14,平,0.436965,0.407165,,0.345765
15,平,0.436965,0.407165,,0.345765
16,平,0.436965,0.407165,,0.345765
17,峰,0.652212,0.604532,,0.506292
18,峰,0.652212,0.604532,,0.506292
19,峰,0.652212,0.604532,,0.506292
20,峰,0.652212,0.604532,,0.506292
21,峰,0.652212,0.604532,,0.506292
22,谷,0.221718,0.209798,,0.185238
23,谷,0.221718,0.209798,,0.185238
