hour,时段,1-10(20)千伏(元/kWh),35千伏(元/kWh),110千伏(元/kWh),220千伏及以上(元/kWh)
0,谷,0.404886,,0.390046,0.381486
1,谷,0.404886,,0.390046,0.381486
2,谷,0.404886,,0.390046,0.381486
3,谷,0.404886,,0.390046,0.381486
4,谷,0.404886,,0.390046,0.381486
5,谷,0.404886,,0.390046,0.381486
6,平,0.725995,,0.688895,0.667495
7,平,0.725995,,0.688895,0.667495
8,峰,1.047104,,0.987744,0.953504
9,峰,1.047104,,0.987744,0.953504
10,平,0.725995,,0.688895,0.667495
11,平,0.725995,,0.688895,0.667495
12,谷,0.404886,,0.390046,0.381486
13,谷,0.404886,,0.390046,0.381486
14,平,0.725995,,0.688895,0.667495
15,平,0.725995,,0.688895,0.667495
16,峰,1.047104,,0.987744,0.953504
17,峰,1.047104,,0.987744,0.953504
18,峰,1.047104,,0.987744,0.953504
19,峰,1.047104,,0.987744,0.953504
20,峰,1.047104,,0.987744,0.953504
21,峰,1.047104,,0.987744,0.953504
22,平,0.725995,,0.688895,0.667495
23,平,0.725995,,0.688895,0.667495
