hour,时段,1-10(20)千伏(元/kWh),35千伏(元/kWh),110千伏(元/kWh),220千伏及以上(元/kWh)
0,谷,0.347436,,0.332596,0.324036
1,谷,0.347436,,0.332596,0.324036
2,谷,0.347436,,0.332596,0.324036
3,谷,0.347436,,0.332596,0.324036
4,谷,0.347436,,0.332596,0.324036
5,谷,0.347436,,0.332596,0.324036
6,平,0.679739,,0.642639,0.621239
7,平,0.679739,,0.642639,0.621239
8,峰,1.012042,,0.952682,0.918442
9,峰,1.012042,,0.952682,0.918442
10,平,0.679739,,0.642639,0.621239
11,平,0.679739,,0.642639,0.621239
12,谷,0.347436,,0.332596,0.324036
13,谷,0.347436,,0.332596,0.324036
14,平,0.679739,,0.642639,0.621239
15,平,0.679739,,0.642639,0.621239
16,峰,1.012042,,0.952682,0.918442
17,峰,1.012042,,0.952682,0.918442
18,峰,1.012042,,0.952682,0.918442
19,峰,1.012042,,0.952682,0.918442
20,峰,1.012042,,0.952682,0.918442
21,峰,1.012042,,0.952682,0.918442
22,平,0.679739,,0.642639,0.621239
23,平,0.679739,,0.642639,0.621239
