hour,时段,1-10(20)千伏(元/kWh),35千伏(元/kWh),110千伏(元/kWh),220千伏及以上(元/kWh)
0,平,0.459307,0.448907,,0.387507
1,平,0.459307,0.448907,,0.387507
2,平,0.459307,0.448907,,0.387507
3,平,0.459307,0.448907,,0.387507
4,谷,0.341588,0.331188,,0.269788
5,谷,0.341588,0.331188,,0.269788
6,谷,0.341588,0.331188,,0.269788
7,谷,0.341588,0.331188,,0.269788
8,峰,0.608408,0.598008,,0.536608
9,峰,0.608408,0.598008,,0.536608
10,峰,0.608408,0.598008,,0.536608
11,平,0.459307,0.448907,,0.387507
12,平,0.459307,0.448907,,0.387507
13,谷,0.341588,0.331188,,0.269788
14,谷,0.341588,0.331188,,0.269788
15,谷,0.341588,0.331188,,0.269788
16,谷,0.341588,0.331188,,0.269788
17,平,0.459307,0.448907,,0.387507
18,平,0.459307,0.448907,,0.387507
19,峰,0.608408,0.598008,,0.536608
20,峰,0.608408,0.598008,,0.536608
21,峰,0.608408,0.598008,,0.536608
22,峰,0.608408,0.598008,,0.536608
23,峰,0.608408,0.598008,,0.536608
