hour,时段,1-10(20)千伏(元/kWh),35千伏(元/kWh),110千伏(元/kWh),220千伏及以上(元/kWh)
0,平,0.509648,0.484548,,0.435548
1,平,0.509648,0.484548,,0.435548
2,谷,0.359474,0.334374,,0.285374
3,谷,0.359474,0.334374,,0.285374
4,谷,0.359474,0.334374,,0.285374
5,谷,0.359474,0.334374,,0.285374
6,平,0.509648,0.484548,,0.435548
7,峰,0.659823,0.634723,,0.585723
8,峰,0.659823,0.634723,,0.585723
9,平,0.509648,0.484548,,0.435548
10,平,0.509648,0.484548,,0.435548
11,平,0.509648,0.484548,,0.435548
12,谷,0.359474,0.334374,,0.285374
13,谷,0.359474,0.334374,,0.285374
14,谷,0.359474,0.334374,,0.285374
15,谷,0.359474,0.334374,,0.285374
16,平,0.509648,0.484548,,0.435548
17,平,0.509648,0.484548,,0.435548
18,峰,0.659823,0.634723,,0.585723
19,峰,0.659823,0.634723,,0.585723
20,峰,0.659823,0.634723,,0.585723
21,峰,0.659823,0.634723,,0.585723
22,峰,0.659823,0.634723,,0.585723
23,峰,0.659823,0.634723,,0.585723
