hour,时段,1-10(20)千伏(元/kWh),35千伏(元/kWh),110千伏(元/kWh),220千伏及以上(元/kWh)
0,谷,0.237800,0.226200,,0.216000
1,谷,0.237800,0.226200,,0.216000
2,谷,0.237800,0.226200,,0.216000
3,谷,0.237800,0.226200,,0.216000
4,谷,0.237800,0.226200,,0.216000
5,谷,0.237800,0.226200,,0.216000
6,谷,0.237800,0.226200,,0.216000
7,谷,0.237800,0.226200,,0.216000
8,峰,1.032500,0.982100,,0.938100
9,尖峰,1.146100,1.178600,,1.125700
10,尖峰,1.146100,1.178600,,1.125700
11,谷,0.237800,0.226200,,0.216000
12,谷,0.237800,0.226200,,0.216000
13,平,0.625700,0.595200,,0.568500
14,平,0.625700,0.595200,,0.568500
15,尖峰,1.146100,1.178600,,1.125700
16,尖峰,1.146100,1.178600,,1.125700
17,峰,1.032500,0.982100,,0.938100
18,峰,1.032500,0.982100,,0.938100
19,峰,1.032500,0.982100,,0.938100
20,峰,1.032500,0.982100,,0.938100
21,峰,1.032500,0.982100,,0.938100
22,峰,1.032500,0.982100,,0.938100
23,平,0.625700,0.595200,,0.568500
