hour,时段,1-10(20)千伏(元/kWh),35千伏(元/kWh),110千伏(元/kWh),220千伏及以上(元/kWh)
0,谷,0.267011,0.253286,,0.241271
1,谷,0.267011,0.253286,,0.241271
2,谷,0.267011,0.253286,,0.241271
3,谷,0.267011,0.253286,,0.241271
4,谷,0.267011,0.253286,,0.241271
5,谷,0.267011,0.253286,,0.241271
6,谷,0.267011,0.253286,,0.241271
7,谷,0.267011,0.253286,,0.241271
8,峰,0.890037,0.844287,,0.804237
9,峰,0.890037,0.844287,,0.804237
10,峰,0.890037,0.844287,,0.804237
11,谷,0.267011,0.253286,,0.241271
12,谷,0.267011,0.253286,,0.241271
13,峰,0.890037,0.844287,,0.804237
14,峰,0.890037,0.844287,,0.804237
15,峰,0.890037,0.844287,,0.804237
16,峰,0.890037,0.844287,,0.804237
17,平,0.593358,0.562858,,0.536158
18,平,0.593358,0.562858,,0.536158
19,平,0.593358,0.562858,,0.536158
20,平,0.593358,0.562858,,0.536158
21,平,0.593358,0.562858,,0.536158
22,平,0.593358,0.562858,,0.536158
23,平,0.593358,0.562858,,0.536158
