hour,时段,1-10(20)千伏(元/kWh),35千伏(元/kWh),110千伏(元/kWh),220千伏及以上(元/kWh)
0,平,0.607528,0.591528,,0.569528
1,谷,0.331923,0.315923,,0.293923
2,谷,0.331923,0.315923,,0.293923
3,谷,0.331923,0.315923,,0.293923
4,谷,0.331923,0.315923,,0.293923
5,谷,0.331923,0.315923,,0.293923
6,平,0.607528,0.591528,,0.569528
7,平,0.607528,0.591528,,0.569528
8,平,0.607528,0.591528,,0.569528
9,平,0.607528,0.591528,,0.569528
10,平,0.607528,0.591528,,0.569528
11,平,0.607528,0.591528,,0.569528
12,谷,0.331923,0.315923,,0.293923
13,谷,0.331923,0.315923,,0.293923
14,谷,0.331923,0.315923,,0.293923
15,平,0.607528,0.591528,,0.569528
16,峰,0.883132,0.867132,,0.845132
17,峰,0.883132,0.867132,,0.845132
18,峰,0.883132,0.867132,,0.845132
19,峰,0.883132,0.867132,,0.845132
20,峰,0.883132,0.867132,,0.845132
21,峰,0.883132,0.867132,,0.845132
22,平,0.607528,0.591528,,0.569528
23,平,0.607528,0.591528,,0.569528
