# MOCK DATA - 待替换为真实数据
date,hour,q_dayahead_kwh,q_dayahead_cleared_kwh
2026-03-15,0,410,420.0
2026-03-15,1,560,570.0
2026-03-15,2,575,585.0
2026-03-15,3,595,605.0
2026-03-15,4,590,600.0
2026-03-15,5,720,730.0
2026-03-15,6,430,440.0
2026-03-15,7,310,320.0
2026-03-15,8,310,320.0
2026-03-15,9,210,220.0
2026-03-15,10,240,250.0
2026-03-15,11,315,325.0
2026-03-15,12,580,590.0
2026-03-15,13,360,370.0
2026-03-15,14,315,325.0
2026-03-15,15,345,355.0
2026-03-15,16,240,250.0
2026-03-15,17,280,290.0
2026-03-15,18,355,365.0
2026-03-15,19,355,365.0
2026-03-15,20,380,390.0
2026-03-15,21,375,385.0
2026-03-15,22,350,360.0
2026-03-15,23,305,315.0

