minute,output
0,0.0
1,1.3024421606027778e-07
2,1.9612569353501906e-07
3,2.0074517451460323e-07
4,1.4720340108940972e-07
5,3.8601115349817946e-08
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,0.0
61,1.7548170501538317e-06
62,3.619457782670231e-06
63,5.585164835164842e-06
64,7.643180845253384e-06
65,9.784748450551552e-06
66,1.2001110288675071e-05
67,1.4283508997239575e-05
68,1.662318721386079e-05
69,1.9011387576154406e-05
70,2.143935272173616e-05
71,2.3898325288221673e-05
72,2.6379547913226667e-05
73,2.8874263234366855e-05
74,3.137371388925795e-05
75,3.386914251551558e-05
76,3.635179175075548e-05
77,3.8812904232593384e-05
78,4.124372259864489e-05
79,4.3635489486525766e-05
80,4.597944753385168e-05
81,4.826683937823838e-05
82,5.048890765730147e-05
83,5.263689500865668e-05
84,5.4702044069919716e-05
85,5.6675597478706317e-05
86,5.854879787263209e-05
87,6.031288788931277e-05
88,6.195911016636406e-05
89,6.347870734140166e-05
90,6.486292205204125e-05
91,6.610299693589851e-05
92,6.719017463058916e-05
93,6.811569777372887e-05
94,6.887080900293337e-05
95,6.944675095581832e-05
96,6.983476626999943e-05
97,7.002609758309243e-05
98,7.001198753271294e-05
99,6.978367875647669e-05
100,6.933241389199942e-05
101,6.864943557689673e-05
102,6.772598644878438e-05
103,6.655330914527811e-05
104,6.512264630399348e-05
105,6.342524056254627e-05
106,6.145233455855217e-05
107,5.91951709296269e-05
108,5.664499231338609e-05
109,5.379304134744552e-05
110,5.0630560669420824e-05
111,4.714879291692765e-05
112,4.3338980727581744e-05
113,3.919236673899891e-05
114,3.4700193588794656e-05
115,2.985370391458473e-05
116,2.4644140353984934e-05
117,1.9062745544610885e-05
118,1.3100762124078249e-05
119,6.749432730002668e-06
120,0.0
121,0.0
122,0.0
123,0.0
124,0.0
125,0.0
126,0.0
127,0.0
128,0.0
129,0.0
130,0.0
131,0.0
132,0.0
133,0.0
134,0.0
135,0.0
136,0.0
137,0.0
138,0.0
139,0.0
140,0.0
141,0.0
142,0.0
143,0.0
144,0.0
145,0.0
146,0.0
147,0.0
148,0.0
149,0.0
150,0.0
151,0.0
152,0.0
153,0.0
154,0.0
155,0.0
156,0.0
157,0.0
158,0.0
159,0.0
160,0.0
161,0.0
162,0.0
163,0.0
164,0.0
165,0.0
166,0.0
167,0.0
168,0.0
169,0.0
170,0.0
171,0.0
172,0.0
173,0.0
174,0.0
175,0.0
176,0.0
177,0.0
178,0.0
179,0.0
180,0.0
181,2.684323261654859e-05
182,5.507636951419316e-05
183,8.458045322553065e-05
184,0.00011523652628315884
185,0.000146925631219673
186,0.0001795288105676709
187,0.00021292710685974947
188,0.00024700156262850564
