hour,时段,1-10(20)千伏(元/kWh),35千伏(元/kWh),110千伏(元/kWh),220千伏及以上(元/kWh)
0,谷,0.381815,,,0.352565
1,谷,0.381815,,,0.352565
2,谷,0.381815,,,0.352565
3,谷,0.381815,,,0.352565
4,谷,0.381815,,,0.352565
5,谷,0.381815,,,0.352565
6,谷,0.381815,,,0.352565
7,平,0.649570,,,0.584570
8,平,0.649570,,,0.584570
9,平,0.649570,,,0.584570
10,平,0.649570,,,0.584570
11,平,0.649570,,,0.584570
12,平,0.649570,,,0.584570
13,平,0.649570,,,0.584570
14,平,0.649570,,,0.584570
15,平,0.649570,,,0.584570
16,峰,1.000087,,,0.888287
17,峰,1.000087,,,0.888287
18,峰,1.000087,,,0.888287
19,峰,1.000087,,,0.888287
20,峰,1.000087,,,0.888287
21,峰,1.000087,,,0.888287
22,峰,1.000087,,,0.888287
23,峰,1.000087,,,0.888287
